"","date","positive_share","negative_share","ISMI"
"47",2002 Q4,0.167203575392183,0.0766009778337683,0.090602597558415
"48",2003 Q1,0.0957054120723987,0.136172615686391,-0.0404672036139923
"49",2003 Q2,0.0546360646445083,0.176644602821259,-0.122008538176751
"50",2003 Q3,0.0896579828263717,0.287370106243633,-0.197712123417261
"51",2003 Q4,0.0525488826815642,0.337907355679702,-0.285358472998138
"52",2004 Q1,0.0603344939779668,0.235607055197214,-0.175272561219248
"53",2004 Q2,0.0506033607759107,0.159247772640126,-0.108644411864216
"54",2004 Q3,0.132209875716804,0.231876296940893,-0.0996664212240891
"55",2004 Q4,0.258548542027801,0.307675746099745,-0.0491272040719435
"56",2005 Q1,0.0835793727754874,0.283903332231799,-0.200323959456311
"57",2005 Q2,0.0940649615766916,0.24251039406603,-0.148445432489339
"58",2005 Q3,0.0744567943606938,0.237104311323494,-0.162647516962801
"59",2005 Q4,0.0577436739131571,0.324356675779229,-0.266613001866071
"60",2006 Q1,0.107795221422484,0.203633731376998,-0.0958385099545142
"61",2006 Q2,0.107713520966826,0.205891597047611,-0.0981780760807851
"62",2006 Q3,0.240585365853659,0.219582238899312,0.0210031269543465
"63",2006 Q4,0.259878939306057,0.246429403570349,0.0134495357357089
"64",2007 Q1,0.243455981919319,0.0497900653671177,0.193665916552201
"65",2007 Q2,0.0673125152266441,0.0244581703186728,0.0428543449079714
"66",2007 Q3,0.104419644122733,0.0616406641278361,0.0427789799948971
"67",2007 Q4,0.0637885642242658,0.318344890240285,-0.254556326016019
"68",2008 Q1,0.227642276422764,0.279363334478415,-0.0517210580556509
"69",2008 Q2,0.0783073156773599,0.28126774189153,-0.20296042621417
"70",2008 Q3,0.177981973545593,0.127945506442522,0.0500364671030713
"71",2008 Q4,0.164267192914018,0.261974804378256,-0.0977076114642373
"72",2009 Q1,0.092801736079047,0.114964447317388,-0.0221627112383415
"73",2009 Q2,0.10317892741533,0.0532125801828696,0.0499663472324605
"74",2009 Q3,0.284894949640807,0.177823002779683,0.107071946861124
"75",2009 Q4,0.106259440248778,0.182963127498889,-0.076703687250111
"76",2010 Q1,0.0880782176349522,0.223458269153973,-0.135380051519021
"77",2010 Q2,0.0465326720612547,0.292295310188811,-0.245762638127556
"78",2010 Q3,0.0446229419424711,0.112105310658707,-0.0674823687162363
"79",2010 Q4,0.0586034701650444,0.113876428269149,-0.0552729581041049
"80",2011 Q1,0.10770180440835,0.0982283456300732,0.00947345877827653
"81",2011 Q2,0.150687548539556,0.129776603830005,0.0209109447095517
"82",2011 Q3,0.240360167308841,0.120116209589352,0.12024395771949
"83",2011 Q4,0.172120229575107,0.0607217196136816,0.111398509961425
"84",2012 Q1,0.112643836114737,0.121863089440095,-0.0092192533253576
"85",2012 Q2,0.047592198053138,0.200006443895818,-0.15241424584268
"86",2012 Q3,0.0529036643144154,0.200175919077224,-0.147272254762809
"87",2012 Q4,0.0224403704643492,0.245888575234712,-0.223448204770363
"88",2013 Q1,0.217299495408531,0.223885040900116,-0.00658554549158497
"89",2013 Q2,0.309368487111745,0.233627228424666,0.0757412586870792
"90",2013 Q3,0.314791277449389,0.181567945851582,0.133223331597807
"91",2013 Q4,0.0779300136632762,0.178579019280401,-0.100649005617125
"92",2014 Q1,0.0910479693716688,0.179314616019818,-0.0882666466481496
"93",2014 Q2,0.175372899839196,0.128026172300981,0.0473467275382141
