"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1988-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","84430","","","","0"
"1988-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","86375","","","","0"
"1989-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","87521","","","","0"
"1989-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","90126","","","","0"
"1989-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","90911","","","","0"
"1989-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","92164","","","","0"
"1990-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","94410","","","","0"
"1990-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","94141","","","","0"
"1990-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","95281","","","","0"
"1990-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","96229","","","","0"
"1991-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","96236","","","","0"
"1991-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","98525","","","","0"
"1991-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","99177","","","","0"
"1991-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","99298","","","","0"
"1992-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","99907","","","","0"
"1992-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","100699","","","","0"
"1992-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","101973","","","","0"
"1992-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","102814","","","","0"
"1993-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","103731","","","","0"
"1993-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","104686","","","","0"
"1993-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","105784","","","","0"
"1993-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","107036","","","","0"
