"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","4582","","","","0"
"2009-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","4875","","","","0"
"2009-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","5145","","","","0"
"2009-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","5004","","","","0"
"2010-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","4865","","","","0"
"2010-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","4565","","","","0"
"2010-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","4636","","","","0"
"2010-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","4829","","","","0"
"2011-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","4639","","","","0"
"2011-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","4660","","","","0"
"2011-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","4409","","","","0"
"2011-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","4631","","","","0"
"2012-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","5351","","","","0"
"2012-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","4921","","","","0"
"2012-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","4849","","","","0"
"2012-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","5042","","","","0"
"2013-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","5046","","","","0"
"2013-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","5188","","","","0"
"2013-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","5219","","","","0"
"2013-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","5154","","","","0"
"2014-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","4953","","","","0"
"2014-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","New passenger cars","Dollars","81","millions","6","v62700728","1.2.1.47","5214","","","","0"
