"","REF_DATE","VALUE","year","month"
"84","2001-10",80.8,2001,10
"85","2002-01",81,2002,1
"86","2002-04",81.8,2002,4
"87","2002-07",82.7,2002,7
"88","2002-10",83.1,2002,10
"89","2003-01",83.4,2003,1
"90","2003-04",83.3,2003,4
"91","2003-07",83.7,2003,7
"92","2003-10",83.6,2003,10
"93","2004-01",84.1,2004,1
"94","2004-04",84.7,2004,4
"95","2004-07",84.8,2004,7
"96","2004-10",85,2004,10
"97","2005-01",85.4,2005,1
"98","2005-04",85.9,2005,4
"99","2005-07",86.3,2005,7
"100","2005-10",86.4,2005,10
"101","2006-01",86.7,2006,1
"102","2006-04",87,2006,4
"103","2006-07",87.2,2006,7
"104","2006-10",87.1,2006,10
"105","2007-01",87.9,2007,1
"106","2007-04",88.3,2007,4
"107","2007-07",88.4,2007,7
"108","2007-10",88.5,2007,10
"109","2008-01",88.9,2008,1
"110","2008-04",89.5,2008,4
"111","2008-07",90.3,2008,7
"112","2008-10",89.7,2008,10
"113","2009-01",89.4,2009,1
"114","2009-04",89.4,2009,4
"115","2009-07",89.7,2009,7
"116","2009-10",90.5,2009,10
"117","2010-01",90.6,2010,1
"118","2010-04",90.6,2010,4
"119","2010-07",91,2010,7
"120","2010-10",91.6,2010,10
"121","2011-01",92.1,2011,1
"122","2011-04",92.7,2011,4
"123","2011-07",93.1,2011,7
"124","2011-10",93.6,2011,10
"125","2012-01",93.8,2012,1
"126","2012-04",94,2012,4
"127","2012-07",94.1,2012,7
"128","2012-10",94.4,2012,10
"129","2013-01",94.9,2013,1
"130","2013-04",95.1,2013,4
"131","2013-07",95.5,2013,7
"132","2013-10",95.8,2013,10
"133","2014-01",96.5,2014,1
"134","2014-04",97.1,2014,4
"135","2014-07",97.4,2014,7
"136","2014-10",97.7,2014,10
"137","2015-01",97.6,2015,1
"138","2015-04",97.9,2015,4
"139","2015-07",98.5,2015,7
"140","2015-10",98.7,2015,10
"141","2016-01",98.8,2016,1
"142","2016-04",98.9,2016,4
"143","2016-07",99,2016,7
"144","2016-10",99.4,2016,10
"145","2017-01",99.8,2017,1
"146","2017-04",99.9,2017,4
"147","2017-07",99.8,2017,7
"148","2017-10",100.5,2017,10
"149","2018-01",101,2018,1
"150","2018-04",101.4,2018,4
"151","2018-07",101.8,2018,7
"152","2018-10",102,2018,10
"153","2019-01",102.4,2019,1
"154","2019-04",103.2,2019,4
"155","2019-07",103.3,2019,7
"156","2019-10",103.9,2019,10
"157","2020-01",104,2020,1
"158","2020-04",103.1,2020,4
"159","2020-07",104,2020,7
"160","2020-10",104.7,2020,10
"161","2021-01",105.4,2021,1
"162","2021-04",106.3,2021,4
"163","2021-07",107.4,2021,7
"164","2021-10",108.8,2021,10
"165","2022-01",110.9,2022,1
"166","2022-04",113.1,2022,4
"167","2022-07",114,2022,7
"168","2022-10",115.3,2022,10
"169","2023-01",116.2,2023,1
"170","2023-04",117.2,2023,4
"171","2023-07",118.3,2023,7
"172","2023-10",118.8,2023,10
"173","2024-01",119.5,2024,1
"174","2024-04",120.6,2024,4
"175","2024-07",121.2,2024,7
"176","2024-10",121.9,2024,10
"177","2025-01",122.7,2025,1
"178","2025-04",122.9,2025,4
"179","2025-07",124,2025,7
"180","2025-10",125,2025,10
"181","2026-01",125.7,2026,1
